timestamp,count,density,smoothed
2026-04-26T14:34:57.089579+00:00,151,High,150.57659429296217
2026-04-26T14:34:57.625386+00:00,151,High,150.7036160050735
2026-04-26T14:34:58.193017+00:00,150,High,150.49253120355144
2026-04-26T14:34:58.728401+00:00,151,High,150.644771842486
2026-04-26T14:34:59.273137+00:00,150,High,149.8513402897402
2026-04-26T14:34:59.780404+00:00,150,High,149.89593820281812
2026-04-26T14:35:00.306221+00:00,149,High,149.02715674197268
2026-04-26T14:35:00.913226+00:00,149,High,148.71900971938086
2026-04-26T14:35:01.920168+00:00,148,High,147.6033068035666
2026-04-26T14:35:02.593375+00:00,148,High,148.3223147624966
2026-04-26T14:35:03.130602+00:00,148,High,147.92562033374762
2026-04-26T14:35:03.648502+00:00,149,High,148.84793423362333
2026-04-26T14:35:04.251404+00:00,148,High,147.69355396353632
2026-04-26T14:35:04.758287+00:00,147,High,147.1854877744754
2026-04-26T14:35:05.330491+00:00,146,High,145.92984144213278
2026-04-26T14:35:05.945381+00:00,146,High,146.25088900949294
2026-04-26T14:35:06.602120+00:00,146,High,146.17562230664504
2026-04-26T14:35:07.146552+00:00,146,High,146.42293561465152
2026-04-26T14:37:39.092822+00:00,43,High,42.9
2026-04-26T14:37:39.562400+00:00,74,High,73.53
2026-04-26T14:37:39.974651+00:00,94,High,94.071
2026-04-26T14:37:40.389078+00:00,108,High,108.4497
2026-04-26T14:37:40.812313+00:00,119,High,118.51479
2026-04-26T14:37:41.239809+00:00,126,High,125.56035299999999
2026-04-26T14:37:41.654984+00:00,130,High,130.19224709999997
2026-04-26T14:37:42.068495+00:00,134,High,133.73457297
2026-04-26T14:37:42.475685+00:00,136,High,136.214201079
2026-04-26T14:37:42.976126+00:00,138,High,137.64994075529998
2026-04-26T14:37:43.454845+00:00,138,High,138.05495852871
2026-04-26T14:37:43.944993+00:00,139,High,138.638470970097
2026-04-26T14:37:44.442882+00:00,139,High,138.74692967906788
2026-04-26T14:37:44.910664+00:00,140,High,140.0228507753475
2026-04-26T14:37:45.389524+00:00,139,High,139.41599554274325
2026-04-26T14:37:45.893040+00:00,139,High,138.99119687992027
2026-04-26T14:37:46.364517+00:00,138,High,138.39383781594418
2026-04-26T14:37:46.848956+00:00,138,High,137.67568647116093
2026-04-26T14:37:47.340262+00:00,137,High,137.17298052981266
2026-04-26T14:37:47.895372+00:00,137,High,137.12108637086885
2026-04-26T14:37:48.387401+00:00,138,High,137.68476045960819
2026-04-26T14:37:48.874428+00:00,139,High,138.67933232172572
2026-04-26T14:37:49.339771+00:00,139,High,138.775532625208
2026-04-26T14:37:49.809948+00:00,139,High,139.4428728376456
2026-04-26T14:37:50.289205+00:00,139,High,139.31001098635193
2026-04-26T14:37:50.784584+00:00,141,High,140.71700769044634
2026-04-26T14:37:51.192973+00:00,141,High,141.40190538331242
2026-04-26T14:37:51.584142+00:00,141,High,141.2813337683187
2026-04-26T14:37:51.989379+00:00,140,High,139.69693363782307
2026-04-26T14:37:52.380854+00:00,140,High,139.78785354647613
2026-04-26T14:37:52.800185+00:00,139,High,138.95149748253328
2026-04-26T14:37:53.220945+00:00,139,High,138.66604823777328
